Generation 00141 --> STR 01, INT 03, STM 02, AGL 01
Generation 00142 --> STR 01, INT 01, STM 01, AGL 01
Generation 00143 --> STR 01, INT 01, STM 01, AGL 01
Generation 00144 --> STR 01, INT 01, STM 01, AGL 01
Generation 00145 --> STR 02, INT 01, STM 01, AGL 01
Generation 00146 --> STR 01, INT 01, STM 01, AGL 01
Generation 00147 --> STR 01, INT 01, STM 01, AGL 01
Generation 00148 --> STR 01, INT 01, STM 01, AGL 01
Generation 00149 --> STR 01, INT 01, STM 02, AGL 01
Generation 00150 --> STR 01, INT 01, STM 01, AGL 01
Generation 00151 --> STR 01, INT 01, STM 02, AGL 01
Generation 00152 --> STR 02, INT 01, STM 01, AGL 02
Generation 00153 --> STR 01, INT 02, STM 01, AGL 01
Generation 00154 --> STR 02, INT 01, STM 02, AGL 02
Generation 00155 --> STR 01, INT 01, STM 01, AGL 01
Generation 00156 --> STR 01, INT 01, STM 01, AGL 01
Generation 00157 --> STR 01, INT 02, STM 01, AGL 02
Generation 00158 --> STR 02, INT 01, STM 01, AGL 03
Generation 00159 --> STR 03, INT 01, STM 02, AGL 01
Generation 00160 --> STR 02, INT 01, STM 01, AGL 01
Generation 00161 --> STR 03, INT 01, STM 01, AGL 01
Generation 00162 --> STR 02, INT 01, STM 01, AGL 01
Generation 00163 --> STR 03, INT 02, STM 02, AGL 02
Generation 00164 --> STR 04, INT 01, STM 03, AGL 01
Generation 00165 --> STR 03, INT 02, STM 01, AGL 02
Generation 00166 --> STR 02, INT 01, STM 02, AGL 01
Generation 00167 --> STR 01, INT 01, STM 01, AGL 01
Generation 00168 --> STR 01, INT 02, STM 02, AGL 02
Generation 00169 --> STR 01, INT 01, STM 01, AGL 03
Generation 00170 --> STR 01, INT 01, STM 01, AGL 02
Generation 00171 --> STR 01, INT 01, STM 02, AGL 03
Generation 00172 --> STR 01, INT 01, STM 03, AGL 02
Generation 00173 --> STR 01, INT 02, STM 04, AGL 03
Generation 00174 --> STR 01, INT 01, STM 05, AGL 02
Generation 00175 --> STR 02, INT 01, STM 03, AGL 01
Generation 00176 --> STR 01, INT 02, STM 02, AGL 01
Generation 00177 --> STR 02, INT 01, STM 01, AGL 01
Generation 00178 --> STR 01, INT 01, STM 02, AGL 01
Generation 00179 --> STR 01, INT 01, STM 01, AGL 01
Generation 00180 --> STR 01, INT 01, STM 02, AGL 01
Generation 00181 --> STR 01, INT 02, STM 01, AGL 02
Generation 00182 --> STR 01, INT 01, STM 02, AGL 01
Generation 00183 --> STR 02, INT 01, STM 01, AGL 01
Generation 00184 --> STR 01, INT 02, STM 01, AGL 01
Generation 00185 --> STR 02, INT 03, STM 02, AGL 01
Generation 00186 --> STR 03, INT 01, STM 01, AGL 02
Generation 00187 --> STR 04, INT 01, STM 02, AGL 01
Generation 00188 --> STR 05, INT 01, STM 01, AGL 02
Generation 00189 --> STR 04, INT 01, STM 01, AGL 01
Generation 00190 --> STR 02, INT 02, STM 01, AGL 01
Generation 00191 --> STR 01, INT 01, STM 02, AGL 01
Generation 00192 --> STR 01, INT 01, STM 01, AGL 01
Generation 00193 --> STR 02, INT 02, STM 01, AGL 02
Generation 00194 --> STR 01, INT 01, STM 02, AGL 01
Generation 00195 --> STR 02, INT 01, STM 01, AGL 01
Generation 00196 --> STR 01, INT 02, STM 01, AGL 01
Generation 00197 --> STR 01, INT 01, STM 01, AGL 02
Generation 00198 --> STR 01, INT 01, STM 01, AGL 01
Generation 00199 --> STR 01, INT 01, STM 02, AGL 02
Generation 00200 --> STR 01, INT 01, STM 01, AGL 01
Generation 00201 --> STR 01, INT 01, STM 01, AGL 01
Generation 00202 --> STR 01, INT 01, STM 01, AGL 01
Generation 00203 --> STR 01, INT 02, STM 01, AGL 02
Generation 00204 --> STR 01, INT 03, STM 02, AGL 03
Generation 00205 --> STR 02, INT 01, STM 03, AGL 04
Generation 00206 --> STR 03, INT 02, STM 01, AGL 02
Generation 00207 --> STR 02, INT 01, STM 01, AGL 01
Generation 00208 --> STR 03, INT 01, STM 01, AGL 02
Generation 00209 --> STR 02, INT 01, STM 01, AGL 01
Generation 00210 --> STR 03, INT 01, STM 02, AGL 02
Generation 00211 --> STR 02, INT 01, STM 01, AGL 03
Generation 00212 --> STR 03, INT 02, STM 02, AGL 01
Generation 00213 --> STR 01, INT 03, STM 01, AGL 02
Generation 00214 --> STR 02, INT 02, STM 02, AGL 01
Generation 00215 --> STR 03, INT 01, STM 03, AGL 01
Generation 00216 --> STR 01, INT 01, STM 04, AGL 01
Generation 00217 --> STR 01, INT 01, STM 05, AGL 02
Generation 00218 --> STR 01, INT 02, STM 03, AGL 01
Generation 00219 --> STR 01, INT 01, STM 02, AGL 02
Generation 00220 --> STR 02, INT 01, STM 03, AGL 03
Generation 00221 --> STR 03, INT 01, STM 04, AGL 01
Generation 00222 --> STR 01, INT 02, STM 03, AGL 01
Generation 00223 --> STR 01, INT 01, STM 04, AGL 02
Generation 00224 --> STR 01, INT 01, STM 05, AGL 01
Generation 00225 --> STR 01, INT 01, STM 06, AGL 02
Generation 00226 --> STR 01, INT 02, STM 04, AGL 01
Generation 00227 --> STR 02, INT 01, STM 03, AGL 01
Generation 00228 --> STR 03, INT 01, STM 04, AGL 01
Generation 00229 --> STR 01, INT 01, STM 05, AGL 01
Generation 00230 --> STR 01, INT 01, STM 06, AGL 02
Generation 00231 --> STR 01, INT 02, STM 05, AGL 01
Generation 00232 --> STR 02, INT 01, STM 06, AGL 01
Generation 00233 --> STR 01, INT 01, STM 04, AGL 01
Generation 00234 --> STR 01, INT 02, STM 03, AGL 02
Generation 00235 --> STR 01, INT 03, STM 04, AGL 03
Generation 00236 --> STR 01, INT 02, STM 05, AGL 01
Generation 00237 --> STR 02, INT 01, STM 06, AGL 01
Generation 00238 --> STR 01, INT 01, STM 04, AGL 01
Generation 00239 --> STR 02, INT 02, STM 03, AGL 01
Generation 00240 --> STR 01, INT 03, STM 02, AGL 01
Generation 00241 --> STR 01, INT 01, STM 03, AGL 02
Generation 00242 --> STR 01, INT 01, STM 04, AGL 01
Generation 00243 --> STR 01, INT 01, STM 02, AGL 02
Generation 00244 --> STR 01, INT 01, STM 01, AGL 01
Generation 00245 --> STR 01, INT 01, STM 01, AGL 01
Generation 00246 --> STR 01, INT 02, STM 02, AGL 01
Generation 00247 --> STR 01, INT 01, STM 01, AGL 02
Generation 00248 --> STR 01, INT 01, STM 02, AGL 01
Generation 00249 --> STR 01, INT 01, STM 01, AGL 01
Generation 00250 --> STR 02, INT 02, STM 01, AGL 02
Generation 00251 --> STR 01, INT 03, STM 01, AGL 01
Generation 00252 --> STR 02, INT 02, STM 02, AGL 02
Generation 00253 --> STR 01, INT 01, STM 01, AGL 01
Generation 00254 --> STR 01, INT 01, STM 02, AGL 02
Generation 00255 --> STR 01, INT 01, STM 03, AGL 01
Generation 00256 --> STR 01, INT 02, STM 04, AGL 01
Generation 00257 --> STR 02, INT 03, STM 05, AGL 02
Generation 00258 --> STR 03, INT 01, STM 03, AGL 01
Generation 00259 --> STR 04, INT 01, STM 01, AGL 02
Generation 00260 --> STR 05, INT 01, STM 01, AGL 01
Generation 00261 --> STR 03, INT 02, STM 02, AGL 01
Generation 00262 --> STR 04, INT 01, STM 01, AGL 01
Generation 00263 --> STR 05, INT 01, STM 01, AGL 02
Generation 00264 --> STR 03, INT 01, STM 01, AGL 03
Generation 00265 --> STR 01, INT 02, STM 01, AGL 04
Generation 00266 --> STR 01, INT 01, STM 02, AGL 03
Generation 00267 --> STR 02, INT 02, STM 01, AGL 02
Generation 00268 --> STR 03, INT 03, STM 02, AGL 01
Generation 00269 --> STR 04, INT 02, STM 03, AGL 01
Generation 00270 --> STR 03, INT 03, STM 01, AGL 02
Generation 00271 --> STR 04, INT 02, STM 01, AGL 03
Generation 00272 --> STR 03, INT 03, STM 02, AGL 02
Generation 00273 --> STR 02, INT 01, STM 03, AGL 03
Generation 00274 --> STR 03, INT 01, STM 01, AGL 04
Generation 00275 --> STR 04, INT 02, STM 01, AGL 05
Generation 00276 --> STR 02, INT 01, STM 01, AGL 03
Generation 00277 --> STR 01, INT 01, STM 02, AGL 01
Generation 00278 --> STR 01, INT 02, STM 03, AGL 01
Generation 00279 --> STR 01, INT 01, STM 02, AGL 01
Generation 00280 --> STR 02, INT 02, STM 03, AGL 02
Generation 00281 --> STR 03, INT 03, STM 02, AGL 03
Generation 00282 --> STR 04, INT 02, STM 01, AGL 04
Generation 00283 --> STR 05, INT 01, STM 01, AGL 05
Generation 00284 --> STR 04, INT 01, STM 02, AGL 06
Generation 00285 --> STR 02, INT 01, STM 03, AGL 07
Generation 00286 --> STR 01, INT 01, STM 04, AGL 06
Generation 00287 --> STR 01, INT 02, STM 02, AGL 05
Generation 00288 --> STR 02, INT 01, STM 03, AGL 04
Generation 00289 --> STR 03, INT 02, STM 04, AGL 03
Generation 00290 --> STR 04, INT 03, STM 02, AGL 02
Generation 00291 --> STR 03, INT 02, STM 01, AGL 01
Generation 00292 --> STR 04, INT 03, STM 02, AGL 02
Generation 00293 --> STR 05, INT 04, STM 03, AGL 03
Generation 00294 --> STR 03, INT 05, STM 01, AGL 04
Generation 00295 --> STR 01, INT 04, STM 01, AGL 05
Generation 00296 --> STR 01, INT 05, STM 01, AGL 04
Generation 00297 --> STR 01, INT 06, STM 01, AGL 03
Generation 00298 --> STR 02, INT 05, STM 01, AGL 04
Generation 00299 --> STR 01, INT 03, STM 01, AGL 02
Generation 00300 --> STR 02, INT 02, STM 01, AGL 03
Generation 00301 --> STR 01, INT 01, STM 02, AGL 01
Generation 00302 --> STR 02, INT 01, STM 01, AGL 01
Generation 00303 --> STR 03, INT 01, STM 01, AGL 01
Generation 00304 --> STR 01, INT 01, STM 01, AGL 01
